,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,512,16,128,64,25,70.44,55.35,7.8,47.56
0,512,16,128,64,30,71.47,55.52,7.63,47.89
0,512,16,128,128,10,53.89,56.87,8.59,48.28
0,512,16,128,128,15,63.14,56.07,7.78,48.29
0,512,16,128,128,20,68.34,55.5,7.55,47.95
0,512,16,128,128,25,70.98,55.66,7.7,47.95
0,512,16,128,128,30,72.2,55.35,7.58,47.77
0,512,16,256,32,10,56.16,57.8,8.54,49.26
0,512,16,256,32,15,62.93,57.14,8.01,49.13
0,512,16,256,32,20,67.09,56.85,7.85,48.99
0,512,16,256,32,25,69.3,55.91,7.74,48.17
0,512,16,256,32,30,70.58,55.75,7.59,48.17
0,512,16,256,64,10,57.48,57.21,8.5,48.72
0,512,16,256,64,15,65.61,56.44,7.68,48.76
0,512,16,256,64,20,69.96,56.17,7.61,48.55
0,512,16,256,64,25,72.04,56.01,7.93,48.08
0,512,16,256,64,30,73.07,55.71,7.63,48.09
0,512,16,256,128,10,55.31,57.78,8.4,49.38
0,512,16,256,128,15,64.89,56.83,8.47,48.36
0,512,16,256,128,20,70.05,55.9,8.06,47.84
0,512,16,256,128,25,72.58,55.47,8.17,47.3
